,root:D,root:W,Unknown
SRR5760996,0.3177892,0.64717036,0.03504044
SRR5760908,0.6266776,0.37332237,0.0
SRR5760912,0.3299933,0.64793885,0.022067845
SRR5761074,0.75089425,0.24910577,0.0
SRR5760909,0.32165092,0.6454506,0.032898486
SRR5761085,0.6236112,0.3763888,0.0
SRR5761120,0.7006357,0.2993643,0.0
SRR5760863,0.34200242,0.6579976,0.0
SRR5760864,0.70879877,0.29120123,0.0
SRR5761148,0.6395341,0.36046588,0.0
SRR5761144,0.31777728,0.64717436,0.035048366
SRR5761141,0.34838492,0.63000786,0.02160722
SRR5761160,0.33251727,0.6674828,0.0
SRR5760958,0.31825805,0.64698803,0.03475392
SRR5761189,0.31777728,0.64717436,0.035048366
SRR5761183,0.7615299,0.23847,0.0
SRR5760858,0.319273,0.68072695,0.0
SRR5761079,0.32718882,0.6728112,0.0
SRR5761190,0.33362505,0.666375,0.0
SRR5761191,0.32799512,0.6720049,0.0
SRR5761055,0.31777728,0.64717436,0.035048366
SRR5761047,0.31777728,0.64717436,0.035048366
SRR5760902,0.7615299,0.23847,0.0
SRR5760882,0.32907343,0.6709266,0.0
SRR5760877,0.6559258,0.3440742,0.0
SRR5761174,0.75094384,0.24905615,0.0
SRR5760948,0.7074823,0.29251766,0.0
SRR5761107,0.32768685,0.6723131,0.0
SRR5761114,0.65742636,0.34257373,0.0
SRR5760916,0.5936366,0.40636343,0.0
SRR5760922,0.5936366,0.40636343,0.0
SRR5760924,0.48748457,0.5125154,0.0
SRR5761181,0.7462993,0.25370064,0.0
SRR5761005,0.59756875,0.4024313,0.0
SRR5761180,0.6910028,0.30899718,0.0
SRR5760853,0.31777728,0.64717436,0.035048366
SRR5761086,0.34988815,0.62899494,0.021116912
