,root:D,root:W
SRR5761074,0.59460956,0.40539047
SRR5761072,0.5615809,0.4384191
SRR5761061,0.59584,0.40416008
SRR5761056,0.5771738,0.42282617
SRR5761078,0.028999824,0.97100013
SRR5760958,0.029002493,0.9709976
SRR5760872,0.5616368,0.4383632
SRR5761156,0.02900008,0.9709999
SRR5761157,0.5612124,0.4387876
SRR5761163,0.5604186,0.4395814
SRR5761051,0.53844786,0.46155214
SRR5761052,0.54871345,0.4512866
SRR5760938,0.029003086,0.97099686
SRR5760937,0.031453807,0.9685462
SRR5760861,0.55450934,0.44549072
SRR5760858,0.5444702,0.45552978
SRR5760892,0.57222867,0.42777133
SRR5761164,0.5622478,0.43775222
SRR5761158,0.5864333,0.41356674
SRR5761045,0.55827403,0.441726
SRR5760959,0.5486195,0.45138058
SRR5760957,0.5594748,0.4405252
SRR5761010,0.5603487,0.43965134
SRR5761015,0.043861363,0.9561387
SRR5761023,0.56172025,0.43827975
SRR5761026,0.028999839,0.97100013
SRR5761197,0.5554086,0.44459143
SRR5761199,0.56044227,0.43955776
SRR5760932,0.5962501,0.4037499
SRR5760974,0.57583916,0.4241608
SRR5761102,0.5636027,0.43639728
SRR5761101,0.5604926,0.43950734
SRR5761129,0.570515,0.42948505
SRR5761135,0.5667889,0.4332111
SRR5760877,0.5765643,0.42343572
SRR5760876,0.57007056,0.42992947
SRR5760881,0.59209394,0.40790612
SRR5760916,0.5807502,0.4192498
SRR5761000,0.6013346,0.39866546
SRR5761179,0.60158575,0.39841428
SRR5761110,0.59723544,0.40276456
SRR5760989,0.5960638,0.4039363
SRR5760952,0.6006628,0.39933714
SRR5760948,0.56061774,0.43938226
