,root:China,root:Trinidad and Tobago,Unknown
MTC6T1,0.5194424,0.4805576,0.0
MTC6T2,0.60374594,0.39625406,0.0
MTT6T3,0.33373788,0.6662622,0.0
MTT6T4,0.3467205,0.6532794,0.0
MTT6T5,0.33502632,0.66497374,0.0
MTT6T7,0.33423987,0.6657601,0.0
MTT6T11,0.33285397,0.667146,0.0
MTT6T12,0.33285397,0.667146,0.0
MTT6T13,0.48708406,0.5129159,0.0
MTT6T14,0.332855,0.6671451,0.0
MTT6T15,0.33291945,0.6670805,0.0
MTT6T16,0.35012108,0.64987886,0.0
MTT6T8,0.33285397,0.667146,0.0
MTT6T9,0.3328562,0.6671438,0.0
MTT6T17,0.3328541,0.6671459,0.0
MTT6T18,0.333054,0.66694593,0.0
MTT6T19,0.332886,0.66711396,0.0
MTB6T21,0.33285397,0.667146,0.0
MTB6T22,0.71629965,0.2837003,0.0
MTB6T23,0.69589335,0.30410668,0.0
MTB6T24,0.6499198,0.35008022,0.0
MTB6T25,0.3335424,0.6664576,0.0
MTB6T26,0.34914467,0.6508553,0.0
MTB6T27,0.33285397,0.667146,0.0
MTB6T28,0.7103291,0.28967088,0.0
MTB6T29,0.71012944,0.28987053,0.0
