,root:BJN,root:TT
MTC10T1,0.57532835,0.42467165
MTC10T2,0.58903897,0.41096106
MTT10T4,0.028298913,0.9717011
MTT10T5,0.0340894,0.9659106
MTT10T7,0.028237676,0.9717623
MTT10T11,0.583264,0.41673604
MTT10T12,0.2692097,0.7307902
MTT10T13,0.03623613,0.96376383
MTT10T14,0.028263427,0.97173655
MTT10T15,0.029400032,0.97059995
MTT10T9,0.02823429,0.9717657
MTB10T16,0.57329196,0.42670804
MTB10T17,0.5833416,0.4166584
MTB10T18,0.5840204,0.41597962
MTB10T19,0.52050704,0.47949296
MTB10T20,0.59160036,0.40839967
MTB10T21,0.5879629,0.41203701
MTB10T23,0.5330256,0.46697435
MTB10T24,0.53413683,0.46586323
MTB10T25,0.53928393,0.46071607
